Date,Daily Average,Record High Daily Average,Year1,Record Low Daily Average,Year2,Average High,Lowest High,Year3,Record High,Year4,Average Low,Highest Low,Year5,Record Low,Year6,Years
26-Apr,79.6,84.2,2020,74.1,2012,80.8,75.2,2012,85.1,2015,78.5,83.1,2020,73.2,2012,24
27-Apr,79.7,82.8,2006,75.1,2012,80.9,75.9,2012,84.0,2011,78.6,82.0,2006,74.5,2012,23
28-Apr,79.8,82.9,2011,75.6,2012,81.1,75.7,2012,84.6,2011,78.7,82.0,2023,75.0,2009,23
29-Apr,79.9,83.3,2011,74.8,2012,81.2,75.2,2012,84.4,2011,78.8,82.4,2011,73.9,2001,24
30-Apr,80.1,83.8,2021,74.2,2001,81.3,75.0,2001,84.9,2021,78.9,82.9,2021,73.4,2001,24
01-May,80.2,84.9,2021,74.0,2001,81.4,75.0,2001,86.4,2021,79.1,83.7,2021,73.2,2001,25
02-May,80.3,85.6,2021,74.1,2001,81.5,75.0,2001,86.7,2021,79.2,84.7,2021,73.2,2001,24
03-May,80.4,85.5,2021,74.5,2001,81.7,76.3,2001,86.9,2021,79.3,84.6,2021,73.4,2001,22
04-May,80.5,86.0,2021,75.4,2001,81.8,77.4,2001,87.4,2021,79.4,84.7,2021,74.1,2001,24
05-May,80.7,86.7,2021,76.2,2001,81.9,77.2,2015,88.2,2021,79.6,85.3,2021,74.7,2001,25
06-May,80.8,87.4,2021,76.4,2001,82.0,78.1,2001,89.1,2021,79.7,86.2,2021,74.8,2001,25
07-May,80.9,86.5,2021,76.1,2001,82.1,78.1,2001,87.8,2021,79.8,85.1,2021,73.9,2001,25
08-May,81.0,85.3,2021,75.4,2001,82.2,76.5,2001,86.5,2021,79.9,84.0,2021,73.8,2001,25
09-May,81.1,84.5,2010,74.7,2001,82.4,75.6,2001,86.4,2010,80.0,83.3,2003,73.0,2001,25
10-May,81.3,84.9,2003,74.7,2001,82.5,75.4,2001,86.4,2021,80.2,83.5,2003,73.8,2001,25
11-May,81.4,85.4,2021,74.7,2001,82.6,75.4,2001,87.1,2021,80.3,84.2,2003,73.9,2001,25
12-May,81.5,86.2,2021,75.0,2001,82.7,76.3,2001,87.4,2003,80.4,85.1,2021,73.9,2001,26
13-May,81.6,86.6,2021,76.1,2001,82.8,77.5,2001,87.8,2003,80.5,85.6,2021,74.8,2001,26
14-May,81.7,86.2,2021,77.1,2001,83.0,78.6,2001,86.9,2021,80.7,84.9,2021,75.7,2004,25
15-May,81.9,85.2,1995,78.1,2001,83.1,79.5,2001,86.9,1995,80.8,84.4,2024,76.5,2004,25
16-May,82.0,85.6,2003,78.6,2001,83.2,80.1,2013,87.4,1995,80.9,85.1,2024,77.4,2001,26
17-May,82.1,85.9,2003,78.9,2014,83.3,79.7,2014,87.8,1995,81.0,84.7,1995,77.4,2014,25
